"name","age","hometown","boarded","destination","lifeboat","body","class","home_country","Lifeboat","Destination","Boarded","survival_outcome","position","crew_type","crew","sex","age_character","household_assistant_type","household_assistant","household_assistant_to_whom"
"Hale, Mr. Reginald",30,"Auburn, New York, US","Southampton","Auburn, New York, US",NA,"75","Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","30",NA,"Not Assistant",NA
"Hämäläinen, Mrs. Anna (Anna Hamlin)",24,"Detroit, Michigan, US","Southampton","Detroit, Michigan, US","4",NA,"Second",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","24",NA,"Not Assistant",NA
"Hämäläinen, Master Viljo Unto Johannes (William Hamlin)",1,"Detroit, Michigan, US","Southampton","Detroit, Michigan, US","4",NA,"Second",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Male","1",NA,"Not Assistant",NA
"Harbeck, Mr. William H.",44,"Toledo, Ohio, US","Southampton","Montreal, Quebec, Canada",NA,"35","Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","44",NA,"Not Assistant",NA
"Harper, The Reverend John",39,"London, England","Southampton","Chicago, Illinois, US",NA,NA,"Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","39",NA,"Not Assistant",NA
"Harper, Miss Annie Jessie ""Nina""",6,"London, England","Southampton","Chicago, Illinois, US","11",NA,"Second",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","6",NA,"Not Assistant",NA
"Harris, Mr. George",62,"London, England","Southampton","New York City","15",NA,"Second",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Male","62",NA,"Not Assistant",NA
"Harris, Mr. Walter",30,"London, England","Southampton","New York City",NA,NA,"Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","30",NA,"Not Assistant",NA
"Hart, Mr. Benjamin",47,"Ilford, Essex, England","Southampton","Winnipeg, Manitoba, Canada",NA,NA,"Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","47",NA,"Not Assistant",NA
"Hart, Mrs. Esther Ada (née Bloomfield)",48,"Ilford, Essex, England","Southampton","Winnipeg, Manitoba, Canada","14",NA,"Second",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","48",NA,"Not Assistant",NA
"Hart, Miss Eva Miriam",7,"Ilford, Essex, England","Southampton","Winnipeg, Manitoba, Canada","14",NA,"Second",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","7",NA,"Not Assistant",NA
"Hartley, Mr. Wallace Henry",33,"Dewsbury, West Yorkshire, England","Southampton","New York City",NA,"224","Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","33",NA,"Not Assistant",NA
"Herman, Mr. Samuel",49,"Yeovil, Somerset, England","Southampton","Bernardsville, New Jersey, US",NA,NA,"Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","49",NA,"Not Assistant",NA
"Herman, Mrs. Jane (née Laver)",48,"Yeovil, Somerset, England","Southampton","Bernardsville, New Jersey, US","9",NA,"Second",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","48",NA,"Not Assistant",NA
"Herman, Miss Alice",24,"Yeovil, Somerset, England","Southampton","Bernardsville, New Jersey, US","9",NA,"Second",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","24",NA,"Not Assistant",NA
"Herman, Miss Kate",24,"Yeovil, Somerset, England","Southampton","Bernardsville, New Jersey, US","9",NA,"Second",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","24",NA,"Not Assistant",NA
"Hewlett, Mrs. Mary Dunbar (née Kingcome)",56,"Lucknow, British India, UK","Southampton","Rapid City, South Dakota, US","13",NA,"Second",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","56",NA,"Not Assistant",NA
"Hickman, Mr. Lewis",30,"Fritham, Hampshire, England","Southampton","The Pas, Manitoba, Canada",NA,"256","Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","30",NA,"Not Assistant",NA
"Hickman, Mr. Leonard Mark",24,"Fritham, Hampshire, England","Southampton","Eden, Manitoba, Canada",NA,NA,"Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","24",NA,"Not Assistant",NA
"Hickman, Mr. Stanley George",20,"Fritham, Hampshire, England","Southampton","The Pas, Manitoba, Canada",NA,NA,"Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","20",NA,"Not Assistant",NA
"Hiltunen, Miss Martta",18,"Joensuu, Finland, Russian Empire","Southampton","Detroit, Michigan, US",NA,NA,"Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Female","18",NA,"Not Assistant",NA
"Hocking, Mrs. Elizabeth ""Eliza"" (née Neads)",54,"Penzance, Cornwall, England","Southampton","Akron, Ohio, US","4",NA,"Second",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","54",NA,"Not Assistant",NA
"Hocking, Mr. Richard George",23,"Akron, Ohio, US","Southampton","Akron, Ohio, US",NA,NA,"Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","23",NA,"Not Assistant",NA
"Hocking, Miss Ellen ""Nellie""",20,"Penzance, Cornwall, England","Southampton","Akron, Ohio, US","4",NA,"Second",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","20",NA,"Not Assistant",NA
"Hocking, Mr. Samuel James Metcalfe",36,"Devonport, Devon, England","Southampton","Middletown, Connecticut, US",NA,NA,"Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","36",NA,"Not Assistant",NA
"Hodges, Mr. Henry Price",50,"Southampton, Hampshire, England","Southampton","Boston, Massachusetts, US",NA,"149","Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","50",NA,"Not Assistant",NA
"Hold, Mr. Stephen",44,"Porthoustock, Cornwall, England","Southampton","Sacramento, California, US",NA,NA,"Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","44",NA,"Not Assistant",NA
"Hold, Mrs. Annie Margaret (née Hill)",29,"Porthoustock, Cornwall, England","Southampton","Sacramento, California, US","10",NA,"Second",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","29",NA,"Not Assistant",NA
"Hood, Mr. Ambrose Jr.",21,"Fritham, Hampshire, England","Southampton","Manitoba, Canada",NA,NA,"Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","21",NA,"Not Assistant",NA
"Hosono, Mr. Masabumi",41,"Tokyo, Japan","Southampton","Tokyo, Japan","10",NA,"Second",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Male","41",NA,"Not Assistant",NA
"Howard, Mr. Benjamin",63,"Swindon, Wiltshire, England","Southampton","Idaho, US",NA,NA,"Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","63",NA,"Not Assistant",NA
"Howard, Mrs. Ellen Truelove (née Arman)",60,"Swindon, Wiltshire, England","Southampton","Idaho, US",NA,NA,"Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Female","60",NA,"Not Assistant",NA
"Hume, Mr. John Law ""Jock""",21,"Dumfries, Scotland","Southampton","New York City",NA,"193","Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","21",NA,"Not Assistant",NA
"Hunt, Mr. George Henry",33,"Philadelphia, Pennsylvania, US","Southampton","Philadelphia, Pennsylvania, US",NA,NA,"Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","33",NA,"Not Assistant",NA
"Ilett, Miss Bertha",17,"Jersey, Channel Islands","Southampton","Atlanta, Georgia, US","?",NA,"Second",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","17",NA,"Not Assistant",NA
"Jacobsohn, Mr. Sidney Samuel",40,"London, England","Southampton","Montreal, Quebec, Canada",NA,NA,"Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","40",NA,"Not Assistant",NA
"Jacobsohn, Mrs. Amy Frances Christy (née Cohen)",24,"London, England","Southampton","Montreal, Quebec, Canada","12",NA,"Second",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","24",NA,"Not Assistant",NA
"Jarvis, Mr. Denzil John",47,"Stoneygate, Leicestershire, England","Southampton","New York City",NA,NA,"Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","47",NA,"Not Assistant",NA
"Jefferys, Mr. Clifford Thomas",24,"Guernsey, Channel Islands","Southampton","Elizabeth, New Jersey, US",NA,NA,"Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","24",NA,"Not Assistant",NA
"Jefferys, Mr. Ernest Wilifred",22,"Guernsey, Channel Islands","Southampton","Elizabeth, New Jersey, US",NA,NA,"Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","22",NA,"Not Assistant",NA
"Jenkin, Mr. Stephen Curnow",32,"St. Ives, Cornwall, England","Southampton","Houghton, Michigan, US",NA,NA,"Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","32",NA,"Not Assistant",NA
"Jerwan, Mrs. Marie Marthe (née Thuillard)",23,"New York City","Southampton","New York City","11",NA,"Second",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","23",NA,"Not Assistant",NA
"Kantor, Mr. Sinai",34,"Vitebsk, Russian Empire","Southampton","Bronx, New York, US",NA,"283","Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","34",NA,"Not Assistant",NA
"Kantor, Mrs. Miriam (née Sternin)",24,"Vitebsk, Russian Empire","Southampton","Bronx, New York, US","12",NA,"Second",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","24",NA,"Not Assistant",NA
"Karnes, Mrs. Claire (née Bennett)",28,"Pittsburgh, Pennsylvania, US","Southampton","Pittsburgh, Pennsylvania, US",NA,NA,"Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Female","28",NA,"Not Assistant",NA
"Keane, Mr. Daniel",35,"Limerick, Ireland","Queenstown","St. Louis, Missouri, US",NA,NA,"Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","35",NA,"Not Assistant",NA
"Keane, Miss Nora Agnes",46,"Castleconnell, Limerick, Ireland","Queenstown","Harrisburg, Pennsylvania, US","10",NA,"Second",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","46",NA,"Not Assistant",NA
"Kelly, Miss Florence ""Fannie""",45,"London, England","Southampton","New York City","9",NA,"Second",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","45",NA,"Not Assistant",NA
"Kirkland, Reverend Charles Leonard",52,"Glasgow, Scotland","Queenstown","Tuxford, Saskatchewan, Canada",NA,NA,"Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","52",NA,"Not Assistant",NA
"Knight, Mr. Robert J.",39,"Belfast, Ireland","Belfast","New York City",NA,NA,"Second",NA,NA,NA,NA,"Perished","Fitter","Guarantee group","Crew","Male","39",NA,"Not Assistant",NA
"Krins, Mr. Georges Alexandré",23,"London, England","Southampton","New York City",NA,NA,"Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","23",NA,"Not Assistant",NA
"Kvillner, Mr. Johan Henrik Johannesson",31,"Trollhättan, Västergötland, Sweden","Southampton","Arlington, Virginia, US",NA,"165","Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","31",NA,"Not Assistant",NA
"Lahtinen, Reverend William",35,"Minneapolis, Minnesota, US","Southampton","Minneapolis, Minnesota, US",NA,NA,"Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","35",NA,"Not Assistant",NA
"Lahtinen, Mrs. Anna Amelia (née Sylfvén)",26,"Minneapolis, Minnesota, US","Southampton","Minneapolis, Minnesota, US",NA,NA,"Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Female","26",NA,"Not Assistant",NA
"Lamb, Mr. John Joseph",30,"Glencree, Ireland","Queenstown","Providence, Rhode Island, US",NA,NA,"Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","30",NA,"Not Assistant",NA
"Laroche, Mr. Joseph Philippe Lemercier",25,"Paris, France","Cherbourg","Cap-Haïtien, Haiti",NA,NA,"Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","25",NA,"Not Assistant",NA
"Laroche, Mrs. Juliette Marie Louise (née Lafargue)",22,"Paris, France","Cherbourg","Cap-Haïtien, Haiti","14",NA,"Second",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","22",NA,"Not Assistant",NA
"Laroche, Miss Simoné Marie Anne Andrée",3,"Paris, France","Cherbourg","Cap-Haïtien, Haiti","14",NA,"Second",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","3",NA,"Not Assistant",NA
"Laroche, Miss Louise Marguerite",1,"Paris, France","Cherbourg","Cap-Haïtien, Haiti","14",NA,"Second",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","1",NA,"Not Assistant",NA
"Lehmann, Miss Bertha",17,"Lotzwil, Switzerland","Cherbourg","Central City, Iowa, US","12",NA,"Second",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","17",NA,"Not Assistant",NA
"Leitch, Miss Jessie Wills",31,"London, England","Southampton","Chicago, Illinois, US","11",NA,"Second",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","31",NA,"Not Assistant",NA
"Lemore, Mrs. Amelia ""Milley"" (née Hunt)",34,"Chicago, Illinois, US","Southampton","Chicago, Illinois, US","14",NA,"Second",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","34",NA,"Not Assistant",NA
"Levy, Mr. René Jacques",36,"Montreal, Quebec, Canada","Cherbourg","Montreal, Quebec, Canada",NA,NA,"Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","36",NA,"Not Assistant",NA
"Leyson, Mr. Robert William Norman",25,"London, England","Southampton","New York City",NA,"108","Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","25",NA,"Not Assistant",NA
"Linnane, Mr. John",61,"Chelsea, Michigan, US","Southampton","Chelsea, Michigan, US",NA,NA,"Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","61",NA,"Not Assistant",NA
"Louch, Mr. Charles Alexander",50,"Weston-super-Mare, North Somerset, England","Southampton","New York City",NA,"121","Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","50",NA,"Not Assistant",NA
"Louch, Mrs. Alice Adelaide (née Slow)",42,"Weston-super-Mare, North Somerset, England","Southampton","New York City","14",NA,"Second",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","42",NA,"Not Assistant",NA
"Mack, Mrs. Mary (née Lacy)",57,"Southampton, Hampshire, England","Southampton","New York City",NA,"52","Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Female","57",NA,"Not Assistant",NA
"Malachard, Mr. Jean-Noël",25,"Paris, France","Cherbourg","New York City",NA,NA,"Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","25",NA,"Not Assistant",NA
"Mallet, Mr. Albert",31,"Montreal, Quebec, Canada","Cherbourg","Montreal, Quebec, Canada",NA,NA,"Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","31",NA,"Not Assistant",NA
"Mallet, Mrs. Antoinette Marie (née Magnin)",24,"Montreal, Quebec, Canada","Cherbourg","Montreal, Quebec, Canada","10",NA,"Second",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","24",NA,"Not Assistant",NA
"Mallet, Master André Clément",1,"Montreal, Quebec, Canada","Cherbourg","Montreal, Quebec, Canada","10",NA,"Second",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Male","1",NA,"Not Assistant",NA
"Mangiavacchi, Mr. Serafino Emilio",30,"Paris, France","Cherbourg","New York City",NA,NA,"Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","30",NA,"Not Assistant",NA
"Matthews, Mr. William John",30,"St Austell, Cornwall, England","Southampton","La Salle, Illinois, US",NA,NA,"Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","30",NA,"Not Assistant",NA
"Maybery, Mr. Frank Hubert",36,"Weston-super-Mare, North Somerset, England","Southampton","Moose Jaw, Saskatchewan, Canada",NA,NA,"Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","36",NA,"Not Assistant",NA
"McCrae, Mr. Arthur Gordon",32,"Sydney, New South Wales, Australia","Southampton","Canada",NA,"209","Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","32",NA,"Not Assistant",NA
"McCrie, Mr. James Matthew",32,"Sarnia, Ontario, Canada","Southampton","Sarnia, Ontario, Canada",NA,NA,"Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","32",NA,"Not Assistant",NA
"McKane, Mr. Peter David",46,"Guernsey, Channel Islands","Southampton","Rochester, New York, US",NA,NA,"Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","46",NA,"Not Assistant",NA
"Mellinger, Mrs. Elizabeth Anne (née Maidment)",41,"Wimbledon, London, England","Southampton","Bennington, Vermont, US","14",NA,"Second",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","41",NA,"Not Assistant",NA
"Mellinger, Miss Madeleine Violet",13,"Wimbledon, London, England","Southampton","Bennington, Vermont, US","14",NA,"Second",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","13",NA,"Not Assistant",NA
"Mellors, Mr. William John",19,"Chelsea, London, England","Southampton","Long Island, New York, US","B",NA,"Second",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Male","19",NA,"Not Assistant",NA
"Meyer, Mr. August",31,"Harrow, London, England","Southampton","New York City",NA,NA,"Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","31",NA,"Not Assistant",NA
"Milling, Mr. Jacob Christian",48,"Odense, Denmark","Southampton","Oregon, Wisconsin, US",NA,"271","Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","48",NA,"Not Assistant",NA
"Mitchell, Mr. Henry Michael",71,"Guernsey, Channel Islands","Southampton","Toledo, Ohio, US",NA,NA,"Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","71",NA,"Not Assistant",NA
"Montvila, Father Juozas",27,"Gudinė, Lithuania","Southampton","Worcester, Massachusetts, US",NA,NA,"Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","27",NA,"Not Assistant",NA
"Moraweck, Dr. Ernest",54,"Frankfort, Kentucky, US","Southampton","Frankfort, Kentucky, US",NA,NA,"Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","54",NA,"Not Assistant",NA
"Morley, Mr. Henry Samuel (alias Mr. Henry Marshall)",38,"Birmingham, Worcester, England","Southampton","Los Angeles, US",NA,NA,"Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","38",NA,"Not Assistant",NA
"Mudd, Mr. Thomas Charles",16,"Huntingfield, Suffolk, England","Southampton","New York City",NA,NA,"Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","16",NA,"Not Assistant",NA
"Myles, Mr. Thomas Francis",63,"Fermoy, Ireland","Queenstown","Waban, Massachusetts, US",NA,NA,"Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","63",NA,"Not Assistant",NA
"Nassr Allah, Mr. Niqula Khalil",28,"Zahlé, Lebanon, Ottoman Empire","Cherbourg","Cleveland, Ohio, US",NA,"43","Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","28",NA,"Not Assistant",NA
"Nassr Allah, Mrs. Adal (née Akim)",14,"Zahlé, Lebanon, Ottoman Empire","Cherbourg","Cleveland, Ohio, US","?",NA,"Second",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","14",NA,"Not Assistant",NA
"Navratil, Mr. Michel (alias Louis M. Hoffman)",32,"Nice, France","Southampton","New York City",NA,"15","Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","32",NA,"Not Assistant",NA
"Navratil, Master Michel Marcel",3,"Nice, France","Southampton","New York City","D",NA,"Second",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Male","3",NA,"Not Assistant",NA
"Navratil, Master Edmond Roger",2,"Nice, France","Southampton","New York City","D",NA,"Second",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Male","2",NA,"Not Assistant",NA
"Nesson, Mr. Israel",26,"London, England","Southampton","Boston, Massachusetts, US",NA,NA,"Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","26",NA,"Not Assistant",NA
"Nicholls, Mr. Joseph Charles ""Joe""",19,"St. Ives, Cornwall, England","Southampton","Houghton, Michigan, US",NA,"101","Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","19",NA,"Not Assistant",NA
"Norman, Mr. Robert Douglas",28,"Glasgow, Scotland","Southampton","Houghton, Michigan, US",NA,"287","Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","28",NA,"Not Assistant",NA
"Nye, Mrs. Elizabeth (née Ramell)",29,"East Orange, New Jersey, US","Southampton","East Orange, New Jersey, US","11",NA,"Second",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","29",NA,"Not Assistant",NA
"Otter, Mr. Richard",39,"Middleburg Heights, Ohio, US","Southampton","Middleburg Heights, Ohio, US",NA,NA,"Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","39",NA,"Not Assistant",NA
"Oxenham, Mr. Percy Thomas",22,"London, England","Southampton","North Bergen, New Jersey, US","13",NA,"Second",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Male","22",NA,"Not Assistant",NA
"Padron Manent, Mr. Julian",26,"Barcelona, Spain","Cherbourg","Havana, Cuba","9",NA,"Second",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Male","26",NA,"Not Assistant",NA
"Pain, Dr. Alfred ""Alf""",23,"Hamilton, Ontario, Canada","Southampton","Hamilton, Ontario, Canada",NA,NA,"Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","23",NA,"Not Assistant",NA
"Pallas y Castello, Mr. Emilio",29,"Barcelona, Spain","Cherbourg","Havana, Cuba","9",NA,"Second",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Male","29",NA,"Not Assistant",NA
"Parker, Mr. Clifford Richard",28,"Guernsey, Channel Islands","Southampton","New York City",NA,NA,"Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","28",NA,"Not Assistant",NA
"Parkes, Mr. Francis ""Frank""",18,"Belfast, Ireland","Belfast","New York City",NA,NA,"Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","18",NA,"Not Assistant",NA
"Parrish, Mrs. Lutie Davis (née Temple)",60,"Woodford County, Kentucky, US","Southampton","Woodford County, Kentucky, US","12",NA,"Second",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","60",NA,"Not Assistant",NA
"Pengelly, Mr. Frederick William",19,"Gunnislake, Cornwall, England","Southampton","Butte, Montana, US",NA,NA,"Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","19",NA,"Not Assistant",NA
"Peruschitz, Father Josef",28,"Scheyern, Bavaria, German Empire","Southampton","St. Cloud, Minnesota, US",NA,NA,"Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","28",NA,"Not Assistant",NA
"Phillips, Mr. Escott Robert",42,"Ilfracombe, Devon, England","Southampton","New Brighton, Pennsylvania, US",NA,NA,"Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","42",NA,"Not Assistant",NA
"Phillips, Miss Alice Frances Louisa",21,"Ilfracombe, Devon, England","Southampton","New Brighton, Pennsylvania, US","12",NA,"Second",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","21",NA,"Not Assistant",NA
"Phillips, Miss Kate Florence (alias Mrs. Kate Marshall)",19,"Birmingham, Worcester, England","Southampton","Los Angeles, US","11",NA,"Second",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","19",NA,"Not Assistant",NA
"Pinsky, Mrs. Rosa",21,"Brooklyn, New York, US","Southampton","Brooklyn, New York, US","9",NA,"Second",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","21",NA,"Not Assistant",NA
"Ponesell, Mr. Martin",34,"Southampton, Hampshire, England","Southampton","New York City",NA,NA,"Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","34",NA,"Not Assistant",NA
"Portaluppi, Mr. Emilio Ilario Giuseppe",34,"Milford, New Hampshire, US","Southampton","Milford, New Hampshire, US","14",NA,"Second",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Male","34",NA,"Not Assistant",NA
"Pulbaum, Mr. Franz",27,"New York City","Southampton","New York City",NA,NA,"Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","27",NA,"Not Assistant",NA
"Quick, Mrs. Jane (née Richards)",33,"Plymouth, Devon, England","Southampton","Detroit, Michigan, US","11",NA,"Second",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","33",NA,"Not Assistant",NA
"Quick, Miss Winnifred Vera",8,"Plymouth, Devon, England","Southampton","Detroit, Michigan, US","11",NA,"Second",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","8",NA,"Not Assistant",NA
"Quick, Miss Phyllis May",2,"Plymouth, Devon, England","Southampton","Detroit, Michigan, US","11",NA,"Second",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","2",NA,"Not Assistant",NA
"Reeves, Mr. David",36,"Slinfold, West Sussex, England","Southampton","New York City",NA,NA,"Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","36",NA,"Not Assistant",NA
"Renouf, Mr. Peter Henry",33,"Elizabeth, New Jersey, US","Southampton","Elizabeth, New Jersey, US",NA,NA,"Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","33",NA,"Not Assistant",NA
"Renouf, Mrs. Lillian ""Lily"" (née Jefferys)",30,"Elizabeth, New Jersey, US","Southampton","Elizabeth, New Jersey, US","12",NA,"Second",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","30",NA,"Not Assistant",NA
"Reynaldo, Miss Encarnación",28,"Marbella, Spain","Southampton","New York City","9",NA,"Second",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","28",NA,"Not Assistant",NA
"Richard, Mr. Emile Philippe",23,"Paris, France","Cherbourg","Montreal, Quebec, Canada",NA,NA,"Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","23",NA,"Not Assistant",NA
"Richards, Mrs. Emily (née Hocking)",23,"Penzance, Cornwall, England","Southampton","Akron, Ohio, US","4",NA,"Second",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","23",NA,"Not Assistant",NA
"Richards, Master William Rowe",3,"Penzance, Cornwall, England","Southampton","Akron, Ohio, US","4",NA,"Second",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Male","3",NA,"Not Assistant",NA
"Richards, Master Sibley George",0,"Penzance, Cornwall, England","Southampton","Akron, Ohio, US","4",NA,"Second",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Male","9 mo.",NA,"Not Assistant",NA
"Ridsdale, Miss Lucy",50,"London, England","Southampton","Marietta, Ohio, US","13",NA,"Second",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","50",NA,"Not Assistant",NA
"Rogers, Mr. Reginald Harry",18,"Tavistock, Devon, England","Southampton","Wilkes Barre, Pennsylvania, US",NA,NA,"Second",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","18",NA,"Not Assistant",NA
