"name","age","hometown","boarded","destination","lifeboat","body","class","homecountry","survivaloutcome","position","crew","sex","agecharacter"
"and maid, Miss Amelia Mayo ""Nellie"" Bessette",39,"New York City","Cherbourg","New York City","8",NA,"First",NA,"Survived",NA,"Not Crew","Female","39"
"and manservant, Mr. Sante Righini",22,"New York City","Cherbourg","New York City",NA,"232","First",NA,"Perished",NA,"Not Crew","Male","22"
"Wick, Colonel George Dennick",58,"Youngstown, Ohio, US","Southampton","Youngstown, Ohio, US",NA,NA,"First",NA,"Perished",NA,"Not Crew","Male","58"
"Wick, Mrs. Mary (née Hitchcock)",45,"Youngstown, Ohio, US","Southampton","Youngstown, Ohio, US","8",NA,"First",NA,"Survived",NA,"Not Crew","Female","45"
"Wick, Miss Mary Natalie",31,"Youngstown, Ohio, US","Southampton","Youngstown, Ohio, US","8",NA,"First",NA,"Survived",NA,"Not Crew","Female","31"
"Widener, Mr. George Dunton",50,"Philadelphia, Pennsylvania, US","Southampton","Philadelphia, Pennsylvania, US",NA,NA,"First",NA,"Perished",NA,"Not Crew","Male","50"
"and valet, Mr. Edwin Herbert Keeping",33,"Philadelphia, Pennsylvania, US","Southampton","Philadelphia, Pennsylvania, US",NA,"45","First",NA,"Perished",NA,"Not Crew","Male","33"
"Widener, Mrs. Eleanor (née Elkins)",50,"Philadelphia, Pennsylvania, US","Southampton","Philadelphia, Pennsylvania, US","4",NA,"First",NA,"Survived",NA,"Not Crew","Female","50"
"and maid, Miss Amalie Henriette ""Emily"" Gieger",35,"Philadelphia, Pennsylvania, US","Southampton","Philadelphia, Pennsylvania, US","4",NA,"First",NA,"Survived",NA,"Not Crew","Female","35"
"Widener, Mr. Harry Elkins",27,"Philadelphia, Pennsylvania, US","Southampton","Philadelphia, Pennsylvania, US",NA,NA,"First",NA,"Perished",NA,"Not Crew","Male","27"
"Willard, Miss Constance",21,"Duluth, Minnesota, US","Southampton","Duluth, Minnesota, US","8",NA,"First",NA,"Survived",NA,"Not Crew","Female","21"
"Williams, Mr. Charles Duane",51,"Geneva, Switzerland","Cherbourg","Radnor, Pennsylvania, US",NA,NA,"First",NA,"Perished",NA,"Not Crew","Male","51"
"Williams, Mr. Richard Norris II",21,"Geneva, Switzerland","Cherbourg","Radnor, Pennsylvania, US","A",NA,"First",NA,"Survived",NA,"Not Crew","Male","21"
"Woolner, Mr. Hugh",45,"London, England, UK","Southampton","New York City","D",NA,"First",NA,"Survived",NA,"Not Crew","Male","45"
"Wright, Mr. George",62,"Halifax, Nova Scotia, Canada","Southampton","Halifax, Nova Scotia, Canada",NA,NA,"First",NA,"Perished",NA,"Not Crew","Male","62"
"Young, Miss Marie Grice",36,"New York City","Cherbourg","New York City","8",NA,"First",NA,"Survived",NA,"Not Crew","Female","36"
"Abelson, Mr. Samuel",30,"Russia","Cherbourg","New York, New York, US",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","30"
"Abelson, Mrs. Anna (née Wizosky?)",28,"Russia","Cherbourg","New York, New York, US","10",NA,"Second",NA,"Survived",NA,"Not Crew","Female","28"
"Andrew, Mr. Edgar Samuel",17,"San Ambrosio, Córdoba, Argentina","Southampton","Trenton, New Jersey, US",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","17"
"Andrew, Mr. Frank Thomas",30,"Redruth, Cornwall, England","Southampton","Houghton, Michigan, US",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","30"
"Angle, Mr. William A.",32,"Warwick, Warwickshire, England","Southampton","New York City",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","32"
"Angle, Mrs. Florence Agnes ""Mary"" (née Hughes)",36,"Warwick, Warwickshire, England","Southampton","New York City","11",NA,"Second",NA,"Survived",NA,"Not Crew","Female","36"
"Ashby, Mr. John",57,"West Hoboken, New Jersey, US","Southampton","West Hoboken, New Jersey, US",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","57"
"Bailey, Mr. Percy Andrew",18,"Penzance, Cornwall, England","Southampton","Akron, Ohio, US",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","18"
"Bainbrigge, Mr. Charles Robert",23,"Saint Peter Port, Guernsey, Channel Islands","Southampton","New York City",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","23"
"Ball, Mrs. Ada E. (née Hall)",36,"Bristol, Avon, England","Southampton","Jacksonville, Florida, US","10",NA,"Second",NA,"Survived",NA,"Not Crew","Female","36"
"Banfield, Mr. Frederick James",28,"Plymouth, Devon, England","Southampton","Houghton, Michigan, US",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","28"
"Bateman, Reverend Robert James",51,"Jacksonville, Florida, US","Southampton","Jacksonville, Florida, US",NA,"174","Second",NA,"Perished",NA,"Not Crew","Male","51"
"Beane, Mr. Edward",32,"New York City","Southampton","New York City","13",NA,"Second",NA,"Survived",NA,"Not Crew","Male","32"
"Beane. Mrs. Ethel (née Clarke)",19,"Norwich, Norfolk, England","Southampton","New York City","13",NA,"Second",NA,"Survived",NA,"Not Crew","Female","19"
"Beauchamp, Mr. Henry James",28,"London, England","Southampton","New York City",NA,"194","Second",NA,"Perished",NA,"Not Crew","Male","28"
"Becker, Mrs. Nellie E. (née Baumgardner)",35,"Guntur, Madras Province, British India","Southampton","Benton Harbor, Michigan, US","11",NA,"Second",NA,"Survived",NA,"Not Crew","Female","35"
"Becker, Miss Ruth Elizabeth",12,"Guntur, Madras Province, British India","Southampton","Benton Harbor, Michigan, US","13",NA,"Second",NA,"Survived",NA,"Not Crew","Female","12"
"Becker, Miss Marion Louise",4,"Guntur, Madras Province, British India","Southampton","Benton Harbor, Michigan, US","11",NA,"Second",NA,"Survived",NA,"Not Crew","Female","4"
"Becker, Master Richard Frederick",1,"Guntur, Madras Province, British India","Southampton","Benton Harbor, Michigan, US","11",NA,"Second",NA,"Survived",NA,"Not Crew","Male","1"
"Beesley, Mr. Lawrence",34,"London, England","Southampton","Toronto, Ontario, Canada","13",NA,"Second",NA,"Survived",NA,"Not Crew","Male","34"
"Bentham, Miss Lillian W.",19,"Rochester, New York, US","Southampton","Rochester, New York, US","12",NA,"Second",NA,"Survived",NA,"Not Crew","Female","19"
"Berriman, Mr. William John",23,"St. Ives, Cornwall, England","Southampton","Calumet, Michigan, US",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","23"
"Botsford, Mr. William Hull",25,"Orange, New Jersey, US","Southampton","Orange, New Jersey, US",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","25"
"Bowenur, Mr. Solomon",42,"London, England","Southampton","New York City",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","42"
"Bracken, Mr. James H.",29,"Lake Arthur, New Mexico, US","Southampton","Lake Arthur, New Mexico, US",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","29"
"Brailey, Mr. W. Theodore Ronald",24,"London, England","Southampton","New York City",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","24"
"Bricoux, Mr. Roger Marie",20,"Monte Carlo, Monaco","Southampton","New York City",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","20"
"Brito, Mr. José Joaquim",32,"Madeira, Portugal","Southampton","São Paulo, Brazil",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","32"
"Brown, Mr. Thomas William Solomon",60,"Cape Town, South Africa, UK","Southampton","Seattle, Washington, US",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","60"
"Brown, Mrs. Elizabeth Catherine (née Ford)",40,"Cape Town, South Africa, UK","Southampton","Seattle, Washington, US","14",NA,"Second",NA,"Survived",NA,"Not Crew","Female","40"
"Brown, Miss Edith Eileen",15,"Cape Town, South Africa, UK","Southampton","Seattle, Washington, US","14",NA,"Second",NA,"Survived",NA,"Not Crew","Female","15"
"Bryhl, Mr. Kurt Arnold Gottfrid",25,"Skara, Västergötland, Sweden","Southampton","Rockford, Illinois, US",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","25"
"Bryhl, Miss Dagmar Jenny Ingeborg",20,"Skara, Västergötland, Sweden","Southampton","Rockford, Illinois, US","12",NA,"Second",NA,"Survived",NA,"Not Crew","Female","20"
"Buss, Miss Kate",36,"Sittingbourne, Kent, England","Southampton","San Francisco, US","9",NA,"Second",NA,"Survived",NA,"Not Crew","Female","36"
"Butler, Mr. Reginald Fenton",25,"Southsea, Hampshire, England","Southampton","New York City",NA,"97","Second",NA,"Perished",NA,"Not Crew","Male","25"
"Byles, Father Thomas Roussel Davids",42,"London, England","Southampton","Jacksonville, Florida, US",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","42"
"Byström, Miss Karolina",42,"New York City","Southampton","New York City","?",NA,"Second",NA,"Survived",NA,"Not Crew","Female","42"
"Caldwell, Mr. Albert Francis",26,"Bangkok, Siam","Southampton","Roseville, Illinois, US","13",NA,"Second",NA,"Survived",NA,"Not Crew","Male","26"
"Caldwell, Mrs. Sylvia Mae (née Harbaugh)",28,"Bangkok, Siam","Southampton","Roseville, Illinois, US","13",NA,"Second",NA,"Survived",NA,"Not Crew","Female","28"
"Caldwell, Master Alden Gates",0,"Bangkok, Siam","Southampton","Roseville, Illinois, US","13",NA,"Second",NA,"Survived",NA,"Not Crew","Male","10 mo."
"Cameron, Miss Clear Annie",35,"London, England","Southampton","Mamaronek, New York, US","14",NA,"Second",NA,"Survived",NA,"Not Crew","Female","35"
"Campbell, Mr. William Henry",21,"Belfast, Ireland","Belfast","New York City",NA,NA,"Second",NA,"Perished","Joiner","Crew","Male","21"
"Carbines, Mr. William",19,"St. Ives, Cornwall, England","Southampton","Houghton, Michigan, US",NA,"18","Second",NA,"Perished",NA,"Not Crew","Male","19"
"Carter, Father Ernest Courtenay",54,"London, England","Southampton","New York City",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","54"
"Carter, Mrs. Lilian (née Hughes)",45,"London, England","Southampton","New York City",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Female","45"
"Chapman, Mr. Charles Henry",52,"Bronx, New York, US","Southampton","Bronx, New York, US",NA,"130","Second",NA,"Perished",NA,"Not Crew","Male","52"
"Chapman, Mr. John Henry",36,"Liskeard, Cornwall, England","Southampton","Spokane, Washington, US",NA,"17","Second",NA,"Perished",NA,"Not Crew","Male","36"
"Chapman, Mrs. Sara Elizabeth (née Lawry)",28,"Liskeard, Cornwall, England","Southampton","Spokane, Washington, US",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Female","28"
"Christy, Mrs. Alice Frances",45,"London, England","Southampton","Montreal, Quebec, Canada","12",NA,"Second",NA,"Survived",NA,"Not Crew","Female","45"
"Christy, Miss Rachel Julie Cohen",25,"London, England","Southampton","Montreal, Quebec, Canada","12",NA,"Second",NA,"Survived",NA,"Not Crew","Female","25"
"Clarke, Mr. Charles Valentine",29,"Netley Abbey, Hampshire, England","Southampton","San Francisco, California, US",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","29"
"Clarke, Mrs. Ada Maria",28,"Netley Abbey, Hampshire, England","Southampton","San Francisco, California, US","14",NA,"Second",NA,"Survived",NA,"Not Crew","Female","28"
"Clarke, Mr. John Frederick Preston",30,"Liverpool, Merseyside, England","Southampton","New York City",NA,"202","Second",NA,"Perished",NA,"Not Crew","Male","30"
"Coleridge, Mr. Reginald Charles",29,"London, England","Southampton","Detroit, Michigan, US",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","29"
"Collander, Mr. Erik Gustaf",27,"Helsinki, Finland, Russian Empire","Southampton","Ashtabula, Ohio, US",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","27"
"Collett, Mr. Sidney Clarence Stuart",25,"London, England","Southampton","Port Byron, New York, US","9",NA,"Second",NA,"Survived",NA,"Not Crew","Male","25"
"Collyer, Mr. Harvey",31,"Bishopstoke, Hampshire, England","Southampton","Payette, Idaho, US",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","31"
"Collyer, Mrs. Charlotte Annie (née Tate)",31,"Bishopstoke, Hampshire, England","Southampton","Payette, Idaho, US","14",NA,"Second",NA,"Survived",NA,"Not Crew","Female","31"
"Collyer, Miss Marjorie Charlotte ""Lottie""",8,"Bishopstoke, Hampshire, England","Southampton","Payette, Idaho, US","14",NA,"Second",NA,"Survived",NA,"Not Crew","Female","8"
"Cook, Mrs. Selena (née Rogers)",22,"Oxford, Oxfordshire, England","Southampton","New York City","14",NA,"Second",NA,"Survived",NA,"Not Crew","Female","22"
"Corbett, Mrs. Irene (née Colvin)",30,"Provo, Utah, US","Southampton","Provo, Utah, US",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Female","30"
"Corey, Mrs. Mary Phyllis Elizabeth (née Miller)",30,"Pittsburgh, Pennsylvania, US","Southampton","Pittsburgh, Pennsylvania, US",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Female","30"
"Cotterill, Mr. Henry ""Harry""",20,"Penzance, Cornwall, England","Southampton","Akron, Ohio, US",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","20"
"Cunningham, Mr. Alfred Fleming",21,"Belfast, Ireland","Belfast","New York City",NA,NA,"Second",NA,"Perished","Fitter","Crew","Male","21"
"Davies, Mr. Charles Henry",21,"Lyndhurst, Hampshire, England","Southampton","Eden, Manitoba, Canada",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","21"
"Davies, Mrs. Elizabeth Agnes Mary (née White)",48,"St. Ives, Cornwall, England","Southampton","Houghton, Michigan, US","14",NA,"Second",NA,"Survived",NA,"Not Crew","Female","48"
"Davies, Master John Morgan Jr.",8,"St. Ives, Cornwall, England","Southampton","Houghton, Michigan, US","14",NA,"Second",NA,"Survived",NA,"Not Crew","Male","8"
"Davis, Miss Mary",28,"London, England","Southampton","Tottenville, New York, US","13",NA,"Second",NA,"Survived",NA,"Not Crew","Female","28"
"Deacon, Mr. Percy William",20,"Fritham, Hampshire, England","Southampton","Boston, Massachusetts, US",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","20"
"del Carlo, Mr. Sebastiano",29,"Montecarlo, Lucca, Tuscany, Italy","Cherbourg","Chicago, Illinois, US",NA,"295","Second",NA,"Perished",NA,"Not Crew","Male","29"
"del Carlo, Mrs. Argene (née Genovesi)",24,"Montecarlo, Lucca, Tuscany, Italy","Cherbourg","Chicago, Illinois, US","11",NA,"Second",NA,"Survived",NA,"Not Crew","Female","24"
"Denbuoy, Mr. Albert ""Herbert""",25,"Guernsey, Channel Islands","Southampton","Elizabeth, New Jersey, US",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","25"
"Dibden, Mr. William",18,"Lyndhurst, Hampshire, England","Southampton","Eden, Manitoba, Canada",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","18"
"Doling, Mrs. Ada Julia (née Bone)",34,"Southampton, Hampshire, England","Southampton","New York City","?",NA,"Second",NA,"Survived",NA,"Not Crew","Female","34"
"Doling, Miss Elsie",19,"Southampton, Hampshire, England","Southampton","New York City","?",NA,"Second",NA,"Survived",NA,"Not Crew","Female","19"
"Douton, Mr. William Joseph",55,"Rochester, New York, US","Southampton","Rochester, New York, US",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","55"
"Drew, Mr. James Vivian",42,"Greenport, New York, US","Southampton","Greenport, New York, US",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","42"
"Drew, Mrs. Lulu Thorne (née Christian)",34,"Greenport, New York, US","Southampton","Greenport, New York, US","10",NA,"Second",NA,"Survived",NA,"Not Crew","Female","34"
"Drew, Master Marshall Brines",8,"Greenport, New York, US","Southampton","Greenport, New York, US","10",NA,"Second",NA,"Survived",NA,"Not Crew","Male","8"
"Duran y More, Miss Florentina",30,"Barcelona, Spain","Cherbourg","Havana, Cuba","12",NA,"Second",NA,"Survived",NA,"Not Crew","Female","30"
"Duran y More, Miss Asunción",27,"Barcelona, Spain","Cherbourg","Havana, Cuba","12",NA,"Second",NA,"Survived",NA,"Not Crew","Female","27"
"Eitemiller, Mr. George Floyd",23,"London, England","Southampton","Detroit, Michigan, US",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","23"
"Enander, Mr. Ingvar",21,"Göteborg, Västergötland, Sweden","Southampton","Rockford, Illinois, US",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","21"
"Fahlstrøm, Mr. Arne Joma",18,"Oslo, Norway","Southampton","Bayonne, New Jersey, US",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","18"
"Faunthorpe, Mr. Harry Bartram",40,"Liverpool, Merseyside, England","Southampton","Philadelphia, Pennsylvania, US",NA,"286","Second",NA,"Perished",NA,"Not Crew","Male","40"
"Fillbrook, Mr. Joseph Charles",18,"Truro, Cornwall, England","Southampton","Houghton, Michigan, US",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","18"
"Fox, Mr. Stanley Hubert",38,"Rochester, New York, US","Southampton","Rochester, New York, US",NA,"236","Second",NA,"Perished",NA,"Not Crew","Male","38"
"Frost, Mr. Anthony Wood",37,"Belfast, Ireland","Belfast","New York City",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","37"
"Funk, Miss Annie Clemmer",38,"Janjgir-Champa, British India, UK","Southampton","Bally, Pennsylvania, US",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Female","38"
"Fynney, Mr. Joseph J.",35,"Liverpool, Merseyside, England","Southampton","Montreal, Quebec, Canada",NA,"322","Second",NA,"Perished",NA,"Not Crew","Male","35"
"Gale, Mr. Harry",38,"Harrowbarrow, Cornwall, England","Southampton","Clear Creek, Colorado, US",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","38"
"Gale, Mr. Shadrach",33,"Harrowbarrow, Cornwall, England","Southampton","Clear Creek, Colorado, US",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","33"
"Garside, Miss Ethel",34,"Liverpool, Merseyside, England","Southampton","Brooklyn, New York, US","12",NA,"Second",NA,"Survived",NA,"Not Crew","Female","34"
"Gaskell, Mr. William Alfred",18,"Liverpool, Merseyside, England","Southampton","Montreal, Quebec, Canada",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","18"
"Gavey, Mr. Laurence",26,"Guernsey, Channel Islands","Southampton","Elizabeth, New Jersey, US",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","26"
"Gilbert, Mr. William",47,"Carleens, Cornwall, England","Southampton","Butte, Montana, US",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","47"
"Giles, Mr. Edgar",21,"Porthleven, Cornwall, England","Southampton","Camden, New Jersey, US",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","21"
"Giles, Mr. Frederick Edward",20,"Porthleven, Cornwall, England","Southampton","Camden, New Jersey, US",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","20"
"Giles, Mr. Ralph",25,"London, England","Southampton","New York City",NA,"297","Second",NA,"Perished",NA,"Not Crew","Male","25"
"Gill, Mr. John William",24,"Clevedon, North Somerset England","Southampton","New York City",NA,"155","Second",NA,"Perished",NA,"Not Crew","Male","24"
"Gillespie, Mr. William Henry",34,"Abbeyleix, Laois, Ireland","Southampton","Vancouver, British Columbia, Canada",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","34"
"Givard, Mr. Hans Kristensen",30,"Kølsen, Vorde Sogn, Denmark","Southampton","San Francisco, California, US",NA,"305","Second",NA,"Perished",NA,"Not Crew","Male","30"
"Greenberg, Mr. Samuel",52,"Bronx, New York, US","Southampton","Bronx, New York, US",NA,"19","Second",NA,"Perished",NA,"Not Crew","Male","52"
"Hale, Mr. Reginald",30,"Auburn, New York, US","Southampton","Auburn, New York, US",NA,"75","Second",NA,"Perished",NA,"Not Crew","Male","30"
"Hämäläinen, Mrs. Anna (Anna Hamlin)",24,"Detroit, Michigan, US","Southampton","Detroit, Michigan, US","4",NA,"Second",NA,"Survived",NA,"Not Crew","Female","24"
"Hämäläinen, Master Viljo Unto Johannes (William Hamlin)",1,"Detroit, Michigan, US","Southampton","Detroit, Michigan, US","4",NA,"Second",NA,"Survived",NA,"Not Crew","Male","1"
"Harbeck, Mr. William H.",44,"Toledo, Ohio, US","Southampton","Montreal, Quebec, Canada",NA,"35","Second",NA,"Perished",NA,"Not Crew","Male","44"
"Harper, The Reverend John",39,"London, England","Southampton","Chicago, Illinois, US",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","39"
"Harper, Miss Annie Jessie ""Nina""",6,"London, England","Southampton","Chicago, Illinois, US","11",NA,"Second",NA,"Survived",NA,"Not Crew","Female","6"
"Harris, Mr. George",62,"London, England","Southampton","New York City","15",NA,"Second",NA,"Survived",NA,"Not Crew","Male","62"
"Harris, Mr. Walter",30,"London, England","Southampton","New York City",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","30"
"Hart, Mr. Benjamin",47,"Ilford, Essex, England","Southampton","Winnipeg, Manitoba, Canada",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","47"
"Hart, Mrs. Esther Ada (née Bloomfield)",48,"Ilford, Essex, England","Southampton","Winnipeg, Manitoba, Canada","14",NA,"Second",NA,"Survived",NA,"Not Crew","Female","48"
"Hart, Miss Eva Miriam",7,"Ilford, Essex, England","Southampton","Winnipeg, Manitoba, Canada","14",NA,"Second",NA,"Survived",NA,"Not Crew","Female","7"
"Hartley, Mr. Wallace Henry",33,"Dewsbury, West Yorkshire, England","Southampton","New York City",NA,"224","Second",NA,"Perished",NA,"Not Crew","Male","33"
"Herman, Mr. Samuel",49,"Yeovil, Somerset, England","Southampton","Bernardsville, New Jersey, US",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","49"
"Herman, Mrs. Jane (née Laver)",48,"Yeovil, Somerset, England","Southampton","Bernardsville, New Jersey, US","9",NA,"Second",NA,"Survived",NA,"Not Crew","Female","48"
"Herman, Miss Alice",24,"Yeovil, Somerset, England","Southampton","Bernardsville, New Jersey, US","9",NA,"Second",NA,"Survived",NA,"Not Crew","Female","24"
"Herman, Miss Kate",24,"Yeovil, Somerset, England","Southampton","Bernardsville, New Jersey, US","9",NA,"Second",NA,"Survived",NA,"Not Crew","Female","24"
"Hewlett, Mrs. Mary Dunbar (née Kingcome)",56,"Lucknow, British India, UK","Southampton","Rapid City, South Dakota, US","13",NA,"Second",NA,"Survived",NA,"Not Crew","Female","56"
"Hickman, Mr. Lewis",30,"Fritham, Hampshire, England","Southampton","The Pas, Manitoba, Canada",NA,"256","Second",NA,"Perished",NA,"Not Crew","Male","30"
"Hickman, Mr. Leonard Mark",24,"Fritham, Hampshire, England","Southampton","Eden, Manitoba, Canada",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","24"
"Hickman, Mr. Stanley George",20,"Fritham, Hampshire, England","Southampton","The Pas, Manitoba, Canada",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","20"
"Hiltunen, Miss Martta",18,"Joensuu, Finland, Russian Empire","Southampton","Detroit, Michigan, US",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Female","18"
"Hocking, Mrs. Elizabeth ""Eliza"" (née Neads)",54,"Penzance, Cornwall, England","Southampton","Akron, Ohio, US","4",NA,"Second",NA,"Survived",NA,"Not Crew","Female","54"
"Hocking, Mr. Richard George",23,"Akron, Ohio, US","Southampton","Akron, Ohio, US",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","23"
"Hocking, Miss Ellen ""Nellie""",20,"Penzance, Cornwall, England","Southampton","Akron, Ohio, US","4",NA,"Second",NA,"Survived",NA,"Not Crew","Female","20"
"Hocking, Mr. Samuel James Metcalfe",36,"Devonport, Devon, England","Southampton","Middletown, Connecticut, US",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","36"
"Hodges, Mr. Henry Price",50,"Southampton, Hampshire, England","Southampton","Boston, Massachusetts, US",NA,"149","Second",NA,"Perished",NA,"Not Crew","Male","50"
"Hold, Mr. Stephen",44,"Porthoustock, Cornwall, England","Southampton","Sacramento, California, US",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","44"
"Hold, Mrs. Annie Margaret (née Hill)",29,"Porthoustock, Cornwall, England","Southampton","Sacramento, California, US","10",NA,"Second",NA,"Survived",NA,"Not Crew","Female","29"
"Hood, Mr. Ambrose Jr.",21,"Fritham, Hampshire, England","Southampton","Manitoba, Canada",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","21"
"Hosono, Mr. Masabumi",41,"Tokyo, Japan","Southampton","Tokyo, Japan","10",NA,"Second",NA,"Survived",NA,"Not Crew","Male","41"
"Howard, Mr. Benjamin",63,"Swindon, Wiltshire, England","Southampton","Idaho, US",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","63"
"Howard, Mrs. Ellen Truelove (née Arman)",60,"Swindon, Wiltshire, England","Southampton","Idaho, US",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Female","60"
"Hume, Mr. John Law ""Jock""",21,"Dumfries, Scotland","Southampton","New York City",NA,"193","Second",NA,"Perished",NA,"Not Crew","Male","21"
"Hunt, Mr. George Henry",33,"Philadelphia, Pennsylvania, US","Southampton","Philadelphia, Pennsylvania, US",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","33"
"Ilett, Miss Bertha",17,"Jersey, Channel Islands","Southampton","Atlanta, Georgia, US","?",NA,"Second",NA,"Survived",NA,"Not Crew","Female","17"
"Jacobsohn, Mr. Sidney Samuel",40,"London, England","Southampton","Montreal, Quebec, Canada",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","40"
"Jacobsohn, Mrs. Amy Frances Christy (née Cohen)",24,"London, England","Southampton","Montreal, Quebec, Canada","12",NA,"Second",NA,"Survived",NA,"Not Crew","Female","24"
"Jarvis, Mr. Denzil John",47,"Stoneygate, Leicestershire, England","Southampton","New York City",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","47"
"Jefferys, Mr. Clifford Thomas",24,"Guernsey, Channel Islands","Southampton","Elizabeth, New Jersey, US",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","24"
"Jefferys, Mr. Ernest Wilifred",22,"Guernsey, Channel Islands","Southampton","Elizabeth, New Jersey, US",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","22"
"Jenkin, Mr. Stephen Curnow",32,"St. Ives, Cornwall, England","Southampton","Houghton, Michigan, US",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","32"
"Jerwan, Mrs. Marie Marthe (née Thuillard)",23,"New York City","Southampton","New York City","11",NA,"Second",NA,"Survived",NA,"Not Crew","Female","23"
"Kantor, Mr. Sinai",34,"Vitebsk, Russian Empire","Southampton","Bronx, New York, US",NA,"283","Second",NA,"Perished",NA,"Not Crew","Male","34"
"Kantor, Mrs. Miriam (née Sternin)",24,"Vitebsk, Russian Empire","Southampton","Bronx, New York, US","12",NA,"Second",NA,"Survived",NA,"Not Crew","Female","24"
"Karnes, Mrs. Claire (née Bennett)",28,"Pittsburgh, Pennsylvania, US","Southampton","Pittsburgh, Pennsylvania, US",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Female","28"
"Keane, Mr. Daniel",35,"Limerick, Ireland","Queenstown","St. Louis, Missouri, US",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","35"
"Keane, Miss Nora Agnes",46,"Castleconnell, Limerick, Ireland","Queenstown","Harrisburg, Pennsylvania, US","10",NA,"Second",NA,"Survived",NA,"Not Crew","Female","46"
"Kelly, Miss Florence ""Fannie""",45,"London, England","Southampton","New York City","9",NA,"Second",NA,"Survived",NA,"Not Crew","Female","45"
"Kirkland, Reverend Charles Leonard",52,"Glasgow, Scotland","Queenstown","Tuxford, Saskatchewan, Canada",NA,NA,"Second",NA,"Perished",NA,"Not Crew","Male","52"
